accuracy,precision,recall,f1_score,tp,tn,fp,fn,feature_method,model,seed,split_ratio,train_size,test_size,extraction_time,feature_size,train_time,pred_time,dataset
0.998203201568115,1.0,0.9951605807303124,0.997574421168688,2262,3849,0,11,bert_en_cased_L-12_H-768_A-12,bert_en_cased_L-12_H-768_A-12,42,0.2,24487,6122,0,0,51.72804067244588,1.8992871484192555,SQLiV3.tsv
0.9973864750081672,0.9995573262505534,0.9934007919049714,0.9964695498676084,2258,3848,1,15,small_bert/bert_en_uncased_L-2_H-128_A-2,small_bert/bert_en_uncased_L-2_H-128_A-2,42,0.2,24487,6122,0,0,18.038699473766883,1.1480557532997469,SQLiV3.tsv
0.998529892192094,1.0,0.9960404751429828,0.9980163103372272,2264,3849,0,9,small_bert/bert_en_uncased_L-4_H-512_A-8,small_bert/bert_en_uncased_L-4_H-512_A-8,42,0.2,24487,6122,0,0,23.63156609280704,1.2766347917533707,SQLiV3.tsv
0.9972231296961778,0.99955713020372,0.9929608446986362,0.9962480688589715,2257,3848,1,16,small_bert/bert_en_uncased_L-8_H-128_A-2,small_bert/bert_en_uncased_L-8_H-128_A-2,42,0.2,24487,6122,0,0,30.165881881202893,1.372541410788256,SQLiV3.tsv
0.9983665468801044,0.9995584988962471,0.9960404751429828,0.99779638607316,2264,3848,1,9,small_bert/bert_en_uncased_L-12_H-768_A-12,small_bert/bert_en_uncased_L-12_H-768_A-12,42,0.2,24487,6122,0,0,52.36716301993157,1.877724092328365,SQLiV3.tsv
0.9988565828160731,0.9995590828924162,0.9973603167619886,0.9984584893195332,2267,3848,1,6,bert_multi_cased_L-12_H-768_A-12,bert_multi_cased_L-12_H-768_A-12,42,0.2,24487,6122,0,0,57.09399589694047,1.8760185543908985,SQLiV3.tsv
0.9968964390721986,1.0,0.9916410030796304,0.9958029600176718,2254,3849,0,19,albert_en_base,albert_en_base,42,0.2,24487,6122,0,0,56.91527310633624,1.810564670793296,SQLiV3.tsv
0.998529892192094,0.999558693733451,0.996480422349318,0.9980171844018506,2265,3848,1,8,electra_base,electra_base,42,0.2,24487,6122,0,0,51.38378354203936,1.7767392588144657,SQLiV3.tsv
0.998529892192094,1.0,0.9960404751429828,0.9980163103372272,2264,3849,0,9,electra_small,electra_small,42,0.2,24487,6122,0,0,36.25947522538715,1.390379731540624,SQLiV3.tsv
0.9983665468801044,0.9982448442299254,0.9973695747479177,0.9978070175438596,2275,3837,4,6,bert_en_uncased_L-12_H-768_A-12,bert_en_uncased_L-12_H-768_A-12,72,0.2,24487,6122,0,0,50.366170624342615,1.7719799223697017,SQLiV3.tsv
0.9986932375040836,0.9978098992553658,0.9986847873739588,0.9982471516213848,2278,3836,5,3,bert_en_cased_L-12_H-768_A-12,bert_en_cased_L-12_H-768_A-12,72,0.2,24487,6122,0,0,50.7191665010853,1.7977228977835205,SQLiV3.tsv
0.9986932375040836,1.0,0.9964927663305568,0.9982433025911288,2273,3841,0,8,small_bert/bert_en_uncased_L-2_H-128_A-2,small_bert/bert_en_uncased_L-2_H-128_A-2,72,0.2,24487,6122,0,0,15.75539033906673,1.0278275572992703,SQLiV3.tsv
0.9980398562561256,0.9978060552874068,0.9969311705392372,0.9973684210526316,2274,3836,5,7,small_bert/bert_en_uncased_L-4_H-512_A-8,small_bert/bert_en_uncased_L-4_H-512_A-8,72,0.2,24487,6122,0,0,21.718861283943244,1.1800443841833883,SQLiV3.tsv
0.9983665468801044,0.9973718791064388,0.9982463831652784,0.997808939526731,2277,3835,6,4,small_bert/bert_en_uncased_L-8_H-128_A-2,small_bert/bert_en_uncased_L-8_H-128_A-2,72,0.2,24487,6122,0,0,25.61116353904757,1.224325046707547,SQLiV3.tsv
0.9986932375040836,0.9982463831652784,0.9982463831652784,0.9982463831652784,2277,3837,4,4,small_bert/bert_en_uncased_L-12_H-768_A-12,small_bert/bert_en_uncased_L-12_H-768_A-12,72,0.2,24487,6122,0,0,50.40252327982294,1.7723581908536634,SQLiV3.tsv
0.9990199281280628,0.9991224221149628,0.9982463831652784,0.9986842105263158,2277,3839,2,4,bert_multi_cased_L-12_H-768_A-12,bert_multi_cased_L-12_H-768_A-12,72,0.2,24487,6122,0,0,55.37276716470261,1.7859660422478731,SQLiV3.tsv
0.9977131656321464,0.997367266344888,0.9964927663305568,0.9969298245614036,2273,3835,6,8,albert_en_base,albert_en_base,72,0.2,24487,6122,0,0,54.67362326366795,1.7081216362246263,SQLiV3.tsv
0.998529892192094,0.9969378827646544,0.9991231915826392,0.99802934092402,2279,3834,7,2,electra_base,electra_base,72,0.2,24487,6122,0,0,50.60072691398618,1.792212087163268,SQLiV3.tsv
0.9983665468801044,0.9973718791064388,0.9982463831652784,0.997808939526731,2277,3835,6,4,electra_small,electra_small,72,0.2,24487,6122,0,0,36.49103740335859,1.4323097784820626,SQLiV3.tsv
0.9986932375040836,0.9991051454138704,0.9973202322465388,0.9982118909253463,2233,3881,2,6,bert_en_uncased_L-12_H-768_A-12,bert_en_uncased_L-12_H-768_A-12,84,0.2,24487,6122,0,0,50.693834904346566,1.7995406349902447,SQLiV3.tsv
0.998529892192094,1.0,0.995980348369808,0.9979861266502572,2230,3883,0,9,bert_en_cased_L-12_H-768_A-12,bert_en_cased_L-12_H-768_A-12,84,0.2,24487,6122,0,0,51.04184998748165,1.8291722244392303,SQLiV3.tsv
0.998203201568115,0.9991039426523296,0.995980348369808,0.9975397002907628,2230,3881,2,9,small_bert/bert_en_uncased_L-2_H-128_A-2,small_bert/bert_en_uncased_L-2_H-128_A-2,84,0.2,24487,6122,0,0,16.09982964007867,1.0350214737920502,SQLiV3.tsv
0.9921594250245018,0.9811155028546332,0.9977668602054488,0.9893711248892826,2234,3840,43,5,small_bert/bert_en_uncased_L-4_H-512_A-8,small_bert/bert_en_uncased_L-4_H-512_A-8,84,0.2,24487,6122,0,0,22.070330442490203,1.1758017251788304,SQLiV3.tsv
0.9986932375040836,0.999552171965965,0.9968736042876284,0.998211091234347,2232,3882,1,7,small_bert/bert_en_uncased_L-8_H-128_A-2,small_bert/bert_en_uncased_L-8_H-128_A-2,84,0.2,24487,6122,0,0,26.417830237013444,1.2515060498955124,SQLiV3.tsv
0.9990199281280628,0.9995525727069352,0.9977668602054488,0.99865891819401,2234,3882,1,5,small_bert/bert_en_uncased_L-12_H-768_A-12,small_bert/bert_en_uncased_L-12_H-768_A-12,84,0.2,24487,6122,0,0,50.95807116705512,1.7727203362909496,SQLiV3.tsv
0.9991832734400524,0.9995527728085868,0.9982134881643592,0.998882681564246,2235,3882,1,4,bert_multi_cased_L-12_H-768_A-12,bert_multi_cased_L-12_H-768_A-12,84,0.2,24487,6122,0,0,55.396732277433394,1.7938871315124572,SQLiV3.tsv
0.998203201568115,0.9986571172784244,0.996426976328718,0.9975408003577018,2231,3880,3,8,albert_en_base,albert_en_base,84,0.2,24487,6122,0,0,55.42019168417407,1.722479871346724,SQLiV3.tsv
0.9980398562561256,0.9982102908277404,0.996426976328718,0.9973178363880196,2231,3879,4,8,electra_base,electra_base,84,0.2,24487,6122,0,0,51.20112127071257,1.792805485381133,SQLiV3.tsv
0.9983665468801045,0.9973226238286479,0.9982134881643591,0.9977678571428572,2235,3877,6,4,electra_small,electra_small,84,0.2,24487,6122,0,0,36.94359876567495,1.4052424544565274,SQLiV3.tsv
