accuracy,precision,recall,f1_score,tp,tn,fp,fn,feature_method,model,seed,split_ratio,train_size,test_size,extraction_time,feature_size,train_time,pred_time,dataset,scale_pos_weight,threshold
0.995753021888272,0.998678996036988,0.9899607158446092,0.9943007452871548,2268,3828,3,23,tf-idf_ngram,xgboost,23,0.2,24487,6122,0.0789892537571486,29074,0.3168900814189592,0.0033706514245737,SQLiV3.tsv,,
0.9991193306913254,0.9995590828924162,0.9995590828924162,0.9995590828924162,2267,2,1,1,bert_en_uncased_L-12_H-768_A-12,bert_en_uncased_L-12_H-768_A-12,23,0.2,24487,6122,0.0,0,67.97457220370623,2.3333321894280767,SQLiV3.tsv,,
0.995753021888272,0.998678996036988,0.9899607158446092,0.9943007452871548,2268,3828,3,23,tf-idf_ngram,xgboost,23,0.2,24487,6122,0.0798341679500619,29074,0.4518985962494827,0.0050872885608392,SQLiV3.tsv,,
0.9991193306913254,0.9995590828924162,0.9995590828924162,0.9995590828924162,2267,2,1,1,bert_en_uncased_L-12_H-768_A-12,bert_en_uncased_L-12_H-768_A-12,23,0.2,24487,6122,0.0,0,68.31939638028534,2.3311888368473026,SQLiV3.tsv,,
0.9965697484482196,0.9986853637160386,0.9921636917718764,0.995413845817864,2279,3822,3,18,tf-idf_ngram,xgboost,6,0.2,24487,6122,0.081718764429274,29196,0.3324428165305088,0.0018704681371559,SQLiV3.tsv,,
0.9991235758106924,1.0,0.9991224221149628,0.9995610184372256,2277,3,0,2,bert_en_uncased_L-12_H-768_A-12,bert_en_uncased_L-12_H-768_A-12,6,0.2,24487,6122,0.0,0,68.82022408305365,2.41434124872206,SQLiV3.tsv,,
0.9973864750081672,0.9991111111111112,0.9938107869142352,0.99645390070922,2248,3858,2,14,tf-idf_ngram,xgboost,34,0.2,24487,6122,0.0823296687109864,27216,0.4176684473944152,0.0042996348917231,SQLiV3.tsv,,
0.9991111111111112,1.0,0.9991103202846976,0.9995549621717846,2246,2,0,2,bert_en_uncased_L-12_H-768_A-12,bert_en_uncased_L-12_H-768_A-12,34,0.2,24487,6122,0.0,0,70.19826438664835,2.358402887980143,SQLiV3.tsv,,
0.9968964390721986,0.9995541685242978,0.9920353982300883,0.9957805907172996,2242,3861,1,18,tf-idf_ngram,xgboost,1984,0.2,24487,6122,0.0817558408589687,29147,0.4256575777545567,0.0020451734206988,SQLiV3.tsv,,
0.9991083370485956,1.0,0.9991079393398752,0.999553770638108,2240,1,0,2,bert_en_uncased_L-12_H-768_A-12,bert_en_uncased_L-12_H-768_A-12,1984,0.2,24487,6122,0.0,0,68.66616897420992,2.393893030568844,SQLiV3.tsv,,
0.9980398562561256,0.9995621716287216,0.9952048823016564,0.99737876802097,2283,3827,1,11,tf-idf_ngram,xgboost,1994,0.2,24487,6122,0.0824317457301352,27306,0.3373471199042187,0.001794643084312,SQLiV3.tsv,,
0.992556917688266,1.0,0.9925536574682436,0.9962629149263575,2266,1,0,17,bert_en_uncased_L-12_H-768_A-12,bert_en_uncased_L-12_H-768_A-12,1994,0.2,24487,6122,0.0,0,70.43687279900988,2.3346696760107464,SQLiV3.tsv,,
0.9972231296961778,1.0,0.99263431542461,0.9963035442487496,2291,3814,0,17,tf-idf_ngram,xgboost,666,0.2,24487,6122,0.0828988697984583,29338,0.4224675474869069,0.0030166453997397,SQLiV3.tsv,,
0.9972231296961778,0.9978270317253368,0.9948006932409011,0.9963115643306574,2296,3809,5,12,tf-idf_ngram,xgboost,666,0.2,24487,6122,0.0807148344144665,29338,0.4891495543608558,0.0021599430307302,SQLiV3.tsv,5.0,0.5
0.9968964390721986,0.9956691208315288,0.996100519930676,0.9958847736625516,2299,3804,10,9,tf-idf_ngram,xgboost,666,0.2,24487,6122,0.0825859867933313,29338,0.4544725860908518,0.0019409967302224,SQLiV3.tsv,50.0,0.5
0.9972231296961778,0.9965322930212396,0.996100519930676,0.9963163596966416,2299,3806,8,9,tf-idf_ngram,xgboost,666,0.2,24487,6122,0.0834075490668697,29338,0.5336604249011493,0.0018158289234219,SQLiV3.tsv,500.0,0.5
0.9955896765762824,0.9918068132815868,0.9965337954939342,0.9941646855413876,2300,3795,19,8,tf-idf_ngram,xgboost,666,0.2,24487,6122,0.0823973176168474,29338,0.5896435063568887,0.0017719773520289,SQLiV3.tsv,5000.0,0.5
0.99640640313623,0.9943771626297578,0.996100519930676,0.9952380952380953,2299,3801,13,9,tf-idf_ngram,xgboost,666,0.2,24487,6122,0.0821928130660841,29338,0.5769590673876231,0.0018029382749929,SQLiV3.tsv,1000.0,0.5
0.9972231296961778,0.9965322930212396,0.996100519930676,0.9963163596966416,2299,3806,8,9,tf-idf_ngram,xgboost,666,0.2,24487,6122,0.0825686247425352,29338,0.5657784949619812,0.0018105714082016,SQLiV3.tsv,500.0,0.5
0.9895459000326692,0.975826972010178,0.9969670710571924,0.9862837548221176,2301,3757,57,7,tf-idf_ngram,xgboost,666,0.2,24487,6122,0.0836105892544434,29338,0.4779185953567498,0.0048096138680927,SQLiV3.tsv,500.0,0.05
0.9880757922247632,0.9713201180936314,0.9978336221837087,0.984398375721308,2303,3746,68,5,tf-idf_ngram,xgboost,666,0.2,24487,6122,0.0821285368690589,29338,0.58503169828823,0.0017870488956604,SQLiV3.tsv,5000.0,0.05
0.9995635093845482,1.0,0.9995635093845482,0.9997817070508623,2290,0,0,1,bert_en_uncased_L-12_H-768_A-12,bert_en_uncased_L-12_H-768_A-12,666,0.2,24487,6122,0.0,0,69.12731657948495,2.4059433855900125,SQLiV3.tsv,,
