accuracy,precision,recall,f1_score,tp,tn,fp,fn,feature_method,model,seed,split_ratio,train_size,test_size,extraction_time,method,feature_size,train_time,def_pred_threshold,pred_time,dataset
0.9970597843841882,0.9995569339831636,0.9925208974923008,0.9960264900662252,2256,3848,1,17,tf-idf_ngram,SVM_RBF,42,0.2,24487,6122,2.224691903000348,tf-idf_ngram,29216,5.008151302813748,0.5,2.1129944998367347,SQLiV3.tsv
0.8549493629532833,0.7584919746173946,0.8939727232732072,0.8206785137318254,2032,3202,647,241,bag_of_characters,MultinomialNB,42,0.2,24487,6122,0.4928555579999738,bag_of_characters,77,0.0002471996161419,0.5,0.0001405770989107,SQLiV3.tsv
0.9967330937602092,0.9995565410199556,0.9916410030796304,0.995583038869258,2254,3848,1,19,bag_of_characters,XGBoost,42,0.2,24487,6122,0.4928555579999738,bag_of_characters,77,0.0416037531751676,0.5,0.0009802513884448,SQLiV3.tsv
0.9916693890885332,0.9946571682991986,0.9828420589529256,0.9887143173268422,2234,3837,12,39,bag_of_characters,SVM_RBF,42,0.2,24487,6122,0.4928555579999738,bag_of_characters,77,0.2265864336586878,0.5,0.2348804032995043,SQLiV3.tsv
0.9972231296961778,0.9991181657848324,0.993423936869794,0.9962629149263574,2266,3839,2,15,tf-idf_ngram,XGBoost,72,0.2,24487,6122,2.183421218999684,tf-idf_ngram,29275,0.3889392525013306,0.5,0.0018311141784011,SQLiV3.tsv
0.9235543939888924,0.8373650911797543,0.9864094695309076,0.9057971014492754,2250,3404,437,31,tf-idf_ngram,MultinomialNB,72,0.2,24487,6122,2.183421218999684,tf-idf_ngram,29275,0.0007272445787606,0.5,0.0005527922248151,SQLiV3.tsv
0.9968964390721986,0.9986772486772488,0.9929855326611136,0.99582325785887,2265,3838,3,16,tf-idf_ngram,SVM_RBF,72,0.2,24487,6122,2.183421218999684,tf-idf_ngram,29275,5.047764939845637,0.5,2.133398782260729,SQLiV3.tsv
0.9915060437765436,0.9977668602054488,0.979395002192021,0.988495575221239,2234,3836,5,47,tf-idf_ngram,MLPClassifier,72,0.2,24487,6122,2.183421218999684,tf-idf_ngram,29275,1.569383724629405,0.5,0.0061216693891578,SQLiV3.tsv
0.9815419797451812,0.985228290062668,0.9649276633055678,0.9749723145071983,2201,3808,33,80,tf-idf_ngram,KNeighborsClassifier,72,0.2,24487,6122,2.183421218999684,tf-idf_ngram,29275,0.000409419896258,0.5,31.659107130022843,SQLiV3.tsv
0.9549166938908852,0.9892630551488532,0.8886453309951775,0.9362586605080832,2027,3819,22,254,tf-idf_ngram,NearestCentroid,72,0.2,24487,6122,2.183421218999684,tf-idf_ngram,29275,0.0010355170090405,0.5,0.0008064647172806,SQLiV3.tsv
0.8317543286507677,0.6985084100285623,0.9649276633055678,0.810382916053019,2201,2891,950,80,tf-idf_ngram,RadiusNeighborsClassifier,72,0.2,24487,6122,2.183421218999684,tf-idf_ngram,29275,0.000368968432224,0.5,31.615314379941267,SQLiV3.tsv
0.9955896765762824,0.9982316534040672,0.9899167032003507,0.9940567906669602,2258,3837,4,23,tf-idf_ngram,SVC-GC,72,0.2,24487,6122,2.183421218999684,tf-idf_ngram,29275,11.081828355127191,0.5,3.813528564521409,SQLiV3.tsv
0.934171839268213,0.999468085106383,0.8237615081104779,0.9031482816630616,1879,3840,1,402,tf-idf_ngram,NuSVC,72,0.2,24487,6122,2.183421218999684,tf-idf_ngram,29275,15.464235117899277,0.5,7.820803251388512,SQLiV3.tsv
0.997876510944136,0.9991197183098592,0.9951775537045155,0.9971447397320448,2270,3839,2,11,tf-idf_ngram,LinearSVC,72,0.2,24487,6122,2.183421218999684,tf-idf_ngram,29275,0.0043805776534661,0.5,0.0002996399869404,SQLiV3.tsv
0.9884024828487422,0.9964061096136568,0.9723805348531346,0.9842467273130686,2218,3833,8,63,tf-idf_ngram,DecisionTreeClassifier,72,0.2,24487,6122,2.183421218999684,tf-idf_ngram,29275,0.0718706395229921,0.5,0.0006762750735341,SQLiV3.tsv
0.9931394968964392,0.9964523281596452,0.9850942569048664,0.9907407407407408,2247,3833,8,34,tf-idf_ngram,AdaBoostClassifier,72,0.2,24487,6122,2.183421218999684,tf-idf_ngram,29275,0.8184274819700171,0.5,0.0250570769356935,SQLiV3.tsv
0.9950996406403136,0.9977885891198583,0.98903989478299,0.9933949801849404,2256,3836,5,25,tf-idf_ngram,BaggingClassifier,72,0.2,24487,6122,2.183421218999684,tf-idf_ngram,29275,2.3665347279781104,0.5,0.0119334157137272,SQLiV3.tsv
0.9977131656321464,0.9991193306913254,0.9947391494958352,0.9969244288224955,2269,3839,2,12,tf-idf_ngram,ExtraTreesClassifier,72,0.2,24487,6122,2.183421218999684,tf-idf_ngram,29275,0.4275861024625343,0.5,0.0550143863116554,SQLiV3.tsv
0.9970597843841882,0.998677831643896,0.993423936869794,0.996043956043956,2266,3838,3,15,tf-idf_ngram,RidgeClassifier,72,0.2,24487,6122,2.183421218999684,tf-idf_ngram,29275,0.0624265158655486,0.5,0.000342273113392,SQLiV3.tsv
0.9962430578242404,0.9986749116607774,0.991231915826392,0.9949394939493948,2261,3838,3,20,tf-idf_ngram,SGDClassifier,72,0.2,24487,6122,2.183421218999684,tf-idf_ngram,29275,0.0047690833503489,0.5,0.0003555638680317,SQLiV3.tsv
0.9967330937602092,0.9943156974202012,0.9969311705392372,0.9956217162872152,2274,3828,13,7,tf-idf_ngram,Perceptron,72,0.2,24487,6122,2.183421218999684,tf-idf_ngram,29275,0.0025646077102288,0.5,0.0003499609605363,SQLiV3.tsv
0.9947729500163344,0.998227735932654,0.9877246821569488,0.992948435434112,2253,3837,4,28,tf-idf_ngram,LogisticRegression,72,0.2,24487,6122,2.183421218999684,tf-idf_ngram,29275,0.0861059272267003,0.5,0.0009747613524805,SQLiV3.tsv
0.997876510944136,0.9986807387862796,0.995615957913196,0.997145993413831,2271,3838,3,10,tf-idf_ngram,PassiveAggressiveClassifier,72,0.2,24487,6122,2.183421218999684,tf-idf_ngram,29275,0.0060144826234427,0.5,0.0003066207122048,SQLiV3.tsv
0.9972231296961778,0.9991181657848324,0.993423936869794,0.9962629149263574,2266,3839,2,15,tf-idf_ngram,OneVsRestClassifier,72,0.2,24487,6122,2.183421218999684,tf-idf_ngram,29275,0.3852906182872672,0.5,0.0018469745182304,SQLiV3.tsv
0.9972231296961778,0.9991181657848324,0.993423936869794,0.9962629149263574,2266,3839,2,15,tf-idf_ngram,OneVsOneClassifier,72,0.2,24487,6122,2.183421218999684,tf-idf_ngram,29275,0.3111771681300244,0.5,0.0034243882718932,SQLiV3.tsv
0.9825220516171186,0.9721980886185926,0.9811486190267428,0.9766528474798168,2238,3777,64,43,tf-idf,MultinomialNB,72,0.2,24487,6122,0.2865461780002079,tf-idf,20976,0.0002299281659731,0.5,0.0001256608951023,SQLiV3.tsv
0.991016007840575,0.996875,0.9789565979833408,0.9878345498783456,2233,3834,7,48,tf-idf,XGBoost,72,0.2,24487,6122,0.2865461780002079,tf-idf,20976,0.0437199991832404,0.5,0.0011471426005871,SQLiV3.tsv
0.8141130349558968,0.6738667477943413,0.9710653222270934,0.7956178160919539,2215,2769,1072,66,tf-idf,SVM_RBF,72,0.2,24487,6122,0.2865461780002079,tf-idf,20976,1.8411223083676933,0.5,0.4974181674290261,SQLiV3.tsv
0.9235543939888924,0.8373650911797543,0.9864094695309076,0.9057971014492754,2250,3404,437,31,tf-idf_ngram,MultinomialNB,72,0.2,24487,6122,2.194519940999271,tf-idf_ngram,29275,0.0006722171356434,0.5,0.0005037706631763,SQLiV3.tsv
0.9972231296961778,0.9991181657848324,0.993423936869794,0.9962629149263574,2266,3839,2,15,tf-idf_ngram,XGBoost,72,0.2,24487,6122,2.194519940999271,tf-idf_ngram,29275,0.3807451071589108,0.5,0.001720354786036,SQLiV3.tsv
0.9968964390721986,0.9986772486772488,0.9929855326611136,0.99582325785887,2265,3838,3,16,tf-idf_ngram,SVM_RBF,72,0.2,24487,6122,2.194519940999271,tf-idf_ngram,29275,4.999333088945158,0.5,2.1362085019600867,SQLiV3.tsv
0.8542959817053251,0.7621744054360136,0.8851380973257343,0.8190669371196755,2019,3211,630,262,bag_of_characters,MultinomialNB,72,0.2,24487,6122,0.4906675070005803,bag_of_characters,79,0.0002456935516743,0.5,0.0001378211368341,SQLiV3.tsv
0.9968964390721986,0.9995583038869258,0.9921087242437528,0.995819581958196,2263,3840,1,18,bag_of_characters,XGBoost,72,0.2,24487,6122,0.4906675070005803,bag_of_characters,79,0.0332312961571488,0.5,0.0010100904932227,SQLiV3.tsv
0.9908526625285854,0.9942247889826744,0.9811486190267428,0.9876434245366283,2238,3828,13,43,bag_of_characters,SVM_RBF,72,0.2,24487,6122,0.4906675070005803,bag_of_characters,79,0.2257140793890518,0.5,0.2333236713492868,SQLiV3.tsv
0.9980398562561256,0.9991035410129988,0.9955337204108976,0.9973154362416108,2229,3881,2,10,tf-idf_ngram,XGBoost,84,0.2,24487,6122,2.222170349999942,tf-idf_ngram,29187,0.3343889788867595,0.5,0.0016836484808991,SQLiV3.tsv
0.919797451813133,0.824907063197026,0.9910674408217954,0.9003854737269221,2219,3412,471,20,tf-idf_ngram,MultinomialNB,84,0.2,24487,6122,2.222170349999942,tf-idf_ngram,29187,0.0006660947441602,0.5,0.0005041711858053,SQLiV3.tsv
0.9975498203201568,0.9995507637017071,0.9937472085752568,0.9966405375139978,2225,3882,1,14,tf-idf_ngram,SVM_RBF,84,0.2,24487,6122,2.222170349999942,tf-idf_ngram,29187,4.985914344468474,0.5,2.122345998366521,SQLiV3.tsv
0.9921594250245018,0.9977283053157656,0.9807949977668602,0.9891891891891892,2196,3878,5,43,tf-idf_ngram,MLPClassifier,84,0.2,24487,6122,2.222170349999942,tf-idf_ngram,29187,2.1779877848246096,0.5,0.0033877819339214,SQLiV3.tsv
0.980235217249265,0.9761690647482014,0.9696292987941044,0.972888191799238,2171,3830,53,68,tf-idf_ngram,KNeighborsClassifier,84,0.2,24487,6122,2.222170349999942,tf-idf_ngram,29187,0.0004337947890862,0.5,31.73130236736371,SQLiV3.tsv
0.9544266579549168,0.9880478087649402,0.8861098704778919,0.9343065693430658,1984,3859,24,255,tf-idf_ngram,NearestCentroid,84,0.2,24487,6122,2.222170349999942,tf-idf_ngram,29187,0.0010460532935629,0.5,0.0008044954262267,SQLiV3.tsv
0.8296308395949036,0.6890012642225032,0.9736489504242966,0.8069590967980752,2180,2899,984,59,tf-idf_ngram,RadiusNeighborsClassifier,84,0.2,24487,6122,2.222170349999942,tf-idf_ngram,29187,0.0003740821660408,0.5,31.7396718039856,SQLiV3.tsv
0.9970597843841882,0.9995501574448944,0.992407324698526,0.995965934558494,2222,3882,1,17,tf-idf_ngram,SVC-GC,84,0.2,24487,6122,2.222170349999942,tf-idf_ngram,29187,11.209461179768846,0.5,3.823620290917935,SQLiV3.tsv
